X,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_04677,0,272.5673687,65.18622958,103.509726,94.15552569,81.7507597,150.7086567,58.24279411,0,168.7052976,162.8617449,114.7539688,59.06870703,39.79818535,53.89175613,83.1213236,0,397.5891997,130.0502253,149.034104,78.04930814,59.81280526,56.11290951,63.54234787
MGG_04678,0,50.88166963,39.70692125,21.2999477,28.97470809,25.43080894,28.32140991,13.21427767,0,54.88145921,24.39310301,36.51236767,26.38452394,7.78382865,7.092065986,14.82847904,0,50.88070154,17.43544383,26.02730261,28.41809083,4.763240554,7.052708962,11.77684801
MGG_04679,0,150.3016671,41.962076,60.9997853,70.04783777,44.37079912,36.86972017,32.52854413,0,242.6454463,44.92172198,46.99587608,41.3989844,28.81250869,43.03367361,29.20167696,0,252.6030377,19.07531362,41.54039298,52.17477418,37.1939585,33.22437363,30.80545869
MGG_04680,0,33.03979987,35.23510155,20.22080726,17.60430952,12.01754154,13.274266,15.05374748,0,11.25380417,34.20147834,44.36800673,9.542010876,58.46343863,37.39563709,17.56835689,1688.886623,24.84148214,51.64253514,49.02197248,21.98987334,85.8561072,46.27853949,59.89694402
MGG_04682,0,1.033567333,0,0,32.41387819,8.035689034,1.97244768,20.80283629,0,0,0,0,58.86975497,24.86208417,31.96809892,6.024264392,1505.728679,0,0,0,91.05477522,26.23174926,14.70831238,34.26318783
MGG_04683,0,6.433735379,2.882723676,7.345290004,93.06495322,15.59078772,4.464750742,15.94930939,0,5.046901077,1.725531293,1.598894629,188.7139198,13.32871161,38.66535187,17.72715745,0,5.013204911,4.008410197,11.16953478,253.4435772,36.50231522,25.294128,69.87092846
MGG_04684,0,16.51624977,24.59068988,16.56476306,34.07689965,24.07670556,13.13308992,16.08513774,0,14.47435126,25.88586701,19.75326244,9.516052761,14.15789616,13.42887558,12.63502203,0,1.474637101,17.68614239,16.89698605,13.92384255,6.871793257,17.93298802,11.71496701
MGG_04685,0,60.64057649,63.81764263,53.29987571,29.06603422,35.47358037,30.75037969,15.41245316,0,54.93299788,70.03288495,71.97243008,17.19411068,5.464270045,10.65668322,13.33300727,0,72.13840831,51.27087568,55.93029917,17.28336367,13.64769261,5.503886041,10.82760233
MGG_04686,0,19.06450909,6.111432342,14.92332285,11.35905247,11.01759482,10.64853184,12.67982161,444.8694133,13.04005473,20.57715645,27.96493313,13.47199127,4.317062669,7.036695145,9.756847571,0,7.97107165,13.80910452,5.074208366,15.68012148,6.190851565,4.124927814,7.776708331
MGG_04687,1032.635126,515.0307921,253.0988891,188.6243603,157.0572489,225.345513,279.5871891,310.8566491,0,575.0661672,245.0720796,229.1506711,169.0694281,226.5908264,283.0972349,303.7128453,0,666.7008245,327.7802752,304.9137937,240.0146949,307.9169093,231.1226445,320.7114243
