,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_05006,0,15,16,9,27,21,16,20,0,10,9,7,18,92,97,27,0,12,15,10,21,48,91,28
MGG_05007,0,59,46,72,91,43,20,20,0,22,62,42,126,151,262,50,0,30,58,41,92,96,200,122
MGG_05008,0,13,6,16,359,78,40,37,0,5,2,5,253,155,483,87,0,3,1,6,189,97,264,188
MGG_05009,0,18,5,16,56,46,32,6,0,11,4,4,44,10,21,12,0,3,6,7,26,11,14,16
MGG_05010,0,8,2,40,347,214,98,49,0,1,8,7,937,157,152,53,0,3,2,5,475,86,138,58
MGG_05011,0,3,4,8,69,231,170,16,0,2,1,3,55,41,171,62,0,0,1,0,41,42,115,82
MGG_05012,0,0,0,1,4,26,14,2,0,0,0,1,7,4,6,13,0,0,0,0,7,4,2,1
MGG_05013,0,46,21,37,79,60,52,5,0,12,16,30,66,57,72,27,0,18,25,16,68,13,31,30
MGG_05014,0,72,43,42,98,157,59,16,0,24,33,28,76,81,163,40,0,11,38,33,61,50,76,64
MGG_05015,0,17,8,6,89,62,23,6,0,3,6,4,32,32,111,27,0,9,8,8,20,19,47,21
MGG_05016,0,18,0,4,3,21,16,3,0,9,2,2,11,5,9,2,0,11,2,3,6,3,9,6
MGG_05017,0,46,10,22,23,44,21,3,0,22,9,2,8,16,37,9,0,14,8,9,12,17,26,28
MGG_05020,0,113,30,22,47,59,29,28,0,62,6,24,38,28,88,39,0,36,16,13,46,18,46,37
MGG_05021,0,66,23,32,38,49,32,16,0,14,7,8,48,25,59,36,0,17,14,8,42,20,35,26
MGG_05022,0,11,4,4,25,20,12,8,0,7,0,0,11,150,195,24,0,5,2,1,22,63,136,99
MGG_05023,0,22,4,6,1,18,10,1,0,5,2,4,2,5,11,3,0,7,3,0,2,5,6,8
MGG_05024,0,90,59,63,394,236,112,28,0,21,42,23,87,29,141,51,0,17,27,17,114,25,61,108
MGG_05025,0,105,54,100,309,170,110,36,0,58,25,49,174,59,227,75,0,32,34,45,144,81,94,90
MGG_05026,0,169,86,147,429,245,168,93,0,80,42,59,885,403,725,133,0,50,51,60,663,177,448,382
MGG_05028,0,424,17,27,167,166,112,20,0,220,2,1,81,7,59,32,0,260,5,3,52,7,31,8
MGG_05030,0,123,68,47,99,127,102,37,0,73,20,17,51,245,241,31,0,42,80,32,58,186,230,82
MGG_05031,0,20,16,27,51,23,16,21,0,8,7,9,35,72,123,32,0,8,17,9,37,37,61,55
MGG_05032,0,28,12,12,37,33,18,12,0,17,11,8,40,8,29,8,0,8,7,13,37,17,35,29
MGG_05033,0,25,15,19,97,105,84,39,0,11,15,8,42,30,94,46,0,24,13,13,42,39,60,28
MGG_05035,0,3,1,6,11,24,13,1,0,0,10,1,2,7,11,7,0,1,5,6,4,3,10,18
MGG_05037,0,1,0,2,3,4,0,1,0,1,0,0,1,0,0,5,0,0,1,0,3,1,3,0
MGG_05038,0,28,2,23,59,21,5,3,0,3,2,2,121,3,14,12,0,13,0,0,70,4,5,3
MGG_05039,0,65,4,35,73,44,39,9,0,20,1,7,65,28,65,23,0,15,2,6,39,19,18,30
MGG_05040,0,19,10,12,27,22,6,7,0,4,7,6,24,7,28,8,0,11,4,3,28,10,10,23
MGG_05041,0,7,3,1,29,42,25,0,0,0,2,2,3,7,20,9,0,2,1,2,14,12,9,21
MGG_05044,0,6,1,2,4,14,14,4,0,0,2,2,12,4,15,14,0,11,0,0,8,5,9,5
MGG_05045,0,1,0,1,1,8,4,1,0,2,0,0,0,4,25,0,0,0,1,0,2,61,31,23
MGG_05046,0,23,12,6,3,69,36,6,0,9,1,1,1,7,56,7,0,7,3,4,0,95,33,48
MGG_05047,0,112,31,52,190,326,222,157,0,67,29,42,158,445,793,152,0,59,99,71,170,354,624,425
MGG_05048,0,70,53,52,153,96,56,33,0,52,29,21,189,250,151,36,0,18,28,32,143,61,77,70
MGG_05049,0,48,12,16,77,60,40,36,0,20,11,15,68,13,37,38,0,23,6,10,90,15,28,33
MGG_05051,1,1,4,53,172,71,46,14,0,2,0,6,160,29,65,41,0,0,4,12,91,28,48,17
MGG_05052,0,30,29,22,67,25,12,7,0,23,15,17,67,11,37,20,0,5,11,21,39,14,42,33
MGG_05053,0,40,424,89,43,27,12,8,1,38,223,131,20,5,11,9,0,23,265,143,8,8,5,5
MGG_05054,0,323,36,10,15,5,3,4,0,446,17,19,59,0,7,4,0,174,10,14,17,10,7,2
MGG_05056,0,41,8,7,18,13,4,4,0,17,2,3,36,11,18,6,0,12,5,8,21,10,11,13
MGG_05057,0,39,6,9,50,23,17,8,0,2,15,10,32,22,56,11,0,11,4,1,31,14,19,21
MGG_05058,0,6,0,0,2,10,7,1,0,0,4,0,0,61,110,3,0,1,0,1,0,283,440,257
MGG_05059,0,343,10,6,29,777,1087,92,1,158,5,6,26,9,170,108,1,206,2,6,31,56,184,256
MGG_05060,0,68,3,5,70,32,10,2,0,22,2,0,86,8,17,4,0,22,0,2,64,6,16,42
MGG_05061,0,166,62,143,330,257,173,65,0,58,59,57,253,185,330,51,0,51,43,53,255,79,180,125
MGG_05062,0,86,64,23,98,38,26,222,0,32,51,38,208,473,1353,159,0,27,141,83,164,490,1392,765
MGG_05063,0,64,81,125,368,263,198,117,0,32,60,33,279,414,1529,161,0,14,46,45,440,534,970,1092
MGG_05064,0,228,179,160,340,240,115,82,1,111,84,95,334,405,612,139,0,106,99,93,258,250,449,280
MGG_05065,0,398,142,223,213,323,144,52,1,150,134,92,138,426,669,98,0,146,136,106,120,222,411,240
MGG_05066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_05067,0,6,2,5,27,20,7,1,0,4,4,5,26,3,23,9,0,6,2,1,15,8,8,22
MGG_05069,0,4,0,7,18,15,6,3,0,1,0,3,34,1,7,4,0,3,1,1,23,5,6,3
MGG_05070,0,153,17,16,21,22,12,4,0,76,11,7,19,11,16,10,0,55,2,8,14,4,8,7
MGG_05071,0,22,28,34,56,51,28,9,0,8,16,24,65,29,34,10,0,16,12,21,47,25,28,14
MGG_05074,0,955,696,460,1086,2022,1617,449,0,389,208,259,627,854,1455,518,0,218,345,340,616,671,1225,726
MGG_05078,0,49,30,15,411,102,45,188,0,6,26,18,408,2799,3603,118,1,18,71,42,620,1970,2847,1914
MGG_05080,0,49,75,22,259,102,58,63,0,15,51,46,101,370,546,80,0,11,63,65,130,242,398,167
MGG_05081,0,8,0,1,3,3,7,0,0,0,2,0,2,2,12,5,0,1,1,1,7,6,3,2
MGG_05082,0,157,28,80,195,132,76,120,0,61,19,36,118,145,330,104,0,74,36,50,140,130,213,176
MGG_05083,0,112,45,42,174,77,45,33,0,111,36,33,173,34,182,52,1,46,39,51,88,50,107,74
MGG_05084,0,4,0,3,43,18,22,7,0,2,1,0,9,7,20,5,0,0,3,0,9,5,4,3
MGG_05085,1,209,89,145,157,158,94,25,1,146,56,71,145,28,86,51,0,66,42,48,76,27,73,66
MGG_05086,0,6,4,1,6,6,2,2,0,2,4,3,2,2,3,2,0,2,2,3,4,0,0,1
MGG_05088,0,151,38,68,130,110,66,29,0,87,27,40,81,67,138,43,0,65,29,24,78,32,71,52
MGG_05089,0,218,83,104,313,191,118,80,0,89,63,71,225,222,555,95,0,74,90,66,252,216,356,313
MGG_05090,0,11,3,2,21,24,24,4,0,6,0,1,6,6,14,3,0,6,0,5,9,4,10,12
MGG_05091,0,34,17,14,61,262,161,7,0,13,2,4,29,14,18,12,0,13,2,2,53,13,26,22
MGG_05092,0,20,7,6,465,138,45,37,0,8,0,0,912,47,353,37,0,1,3,2,972,123,198,680
MGG_05095,0,102,55,62,136,84,53,27,0,27,27,27,191,64,114,31,0,56,13,38,142,40,77,101
MGG_05096,0,94,64,70,225,153,102,41,0,43,20,25,197,62,162,63,0,42,24,26,183,47,110,143
MGG_05097,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MGG_05098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_05099,0,182,75,99,223,242,135,68,0,72,46,56,126,99,248,129,0,56,49,49,109,59,132,113
MGG_05100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_05101,0,7,16,11,25,7,10,4,0,6,9,20,13,3,7,12,0,3,13,9,5,8,3,1
MGG_05105,0,46,18,13,3,6,3,3,0,12,1,2,2,1,2,1,0,17,9,5,2,1,6,10
MGG_05106,0,37,13,15,63,199,117,0,0,13,1,1,8,5,56,4,0,11,1,6,31,42,54,18
MGG_05107,0,25,10,23,33,60,31,7,0,5,5,6,36,26,40,6,0,9,4,7,46,16,21,9
MGG_05108,0,12,3,16,20,40,23,0,0,6,6,2,11,1,8,4,0,4,0,2,6,7,5,2
MGG_05109,0,284,29,70,7,28,16,15,0,70,12,13,7,3,5,19,0,104,4,8,6,5,13,23
MGG_05110,0,611,67,188,39,55,33,14,0,157,14,20,17,8,14,23,0,189,10,11,18,9,17,33
MGG_05111,1,478,172,146,378,516,243,279,0,272,123,88,254,439,1322,260,0,146,194,106,256,357,1175,643
MGG_05112,0,34,29,33,102,40,36,55,0,17,21,19,87,158,380,33,0,13,36,18,78,90,354,111
MGG_05113,0,63,29,32,85,70,32,24,0,32,13,21,74,58,97,22,0,30,23,28,66,30,80,50
MGG_05114,0,363,132,267,111,170,168,162,0,45,21,39,17,33,86,144,0,31,32,17,46,37,128,228
MGG_05115,0,36,33,36,79,94,67,18,0,21,12,22,51,58,106,44,0,12,8,15,41,27,71,50
MGG_05116,0,132,27,51,147,75,42,23,0,57,27,49,47,326,226,64,0,39,68,56,43,77,162,59
MGG_05118,0,38,8,15,49,24,15,9,0,7,12,13,19,36,37,20,0,14,3,5,17,6,20,15
MGG_05119,0,6,7,29,28,8,4,0,0,1,1,3,78,2,16,2,0,5,1,2,16,2,2,3
MGG_05120,0,1,0,3,16,20,7,1,0,1,0,0,1,4,31,5,0,2,0,0,5,8,13,15
MGG_05121,0,6,2,6,19,19,11,0,0,1,0,1,1,3,17,8,0,2,0,2,3,8,11,6
MGG_05122,0,2,0,3,8,13,6,0,0,1,0,1,5,2,12,3,0,0,0,0,4,1,8,1
MGG_05123,0,10,0,4,30,106,107,2,0,4,1,2,11,5,69,21,0,2,1,0,9,49,39,26
MGG_05124,0,2,3,3,3,25,10,3,0,0,0,0,0,0,5,1,0,0,0,1,3,2,11,12
MGG_05125,0,196,22,88,47,257,135,4,0,47,10,12,5,13,38,25,0,67,3,8,11,29,51,23
MGG_05126,0,1,0,2,12,14,3,0,0,0,0,1,3,3,6,1,0,0,0,0,8,4,5,11
MGG_05127,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1
MGG_05128,0,109,89,326,599,202,119,36,0,53,109,93,462,70,259,85,0,51,28,60,337,116,169,72
MGG_05129,0,1544,457,499,1242,3462,1419,394,0,861,234,182,994,1506,1682,719,0,573,212,242,744,669,1186,652
MGG_05131,0,50,4,11,8,16,9,4,0,31,4,4,12,6,11,3,0,25,5,11,8,3,10,8
MGG_05132,0,4,1,1,11,2,0,2,0,2,1,0,29,17,33,5,0,3,0,1,76,11,18,12
MGG_05133,0,248,91,159,330,360,251,93,0,127,54,63,171,147,457,121,0,96,41,68,229,182,206,193
MGG_05134,0,458,206,426,573,491,202,142,1,259,128,210,759,531,1009,226,1,172,135,154,617,402,589,606
MGG_05135,0,94,59,40,91,86,46,41,0,17,40,48,71,127,267,66,0,29,69,51,87,99,166,143
MGG_05136,1,126,82,86,172,157,95,52,0,78,36,48,192,170,207,79,0,39,21,22,145,44,74,55
MGG_05137,0,57,13,19,33,30,30,2,0,17,10,8,20,2,10,7,0,22,6,6,23,4,4,8
MGG_05138,0,129,61,70,287,138,73,17,0,56,44,33,162,64,163,46,0,46,17,35,104,56,84,72
MGG_05139,0,4,0,1,15,6,2,2,0,1,0,0,28,5,19,3,0,0,0,1,12,2,1,12
MGG_05140,1,54,15,96,1185,761,455,258,1,10,2,4,487,314,1951,331,0,8,3,4,723,306,553,663
MGG_05141,1,13,5,4,48,38,19,9,0,3,0,0,16,30,65,11,0,3,1,1,24,17,26,13
