,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
MGG_08178,0,27,13,15,26,17,7,6,0,12,15,13,49,48,46,7,0,12,13,11,43,15,26,22
MGG_08179,0,0,0,2,0,1,3,0,0,0,0,3,1,0,0,1,0,0,0,0,1,1,0,1
MGG_08180,0,259,216,188,666,488,250,234,2,159,86,154,475,795,1321,322,0,92,172,137,427,657,886,663
MGG_08182,0,237,64,141,360,204,132,98,0,81,20,34,373,519,463,124,0,90,36,32,296,228,421,261
MGG_08185,0,4,3,8,250,155,60,12,0,8,1,1,170,104,97,48,0,1,2,6,155,30,81,40
MGG_08186,0,82,21,45,86,76,43,35,0,20,24,17,67,42,181,52,0,26,21,15,65,51,55,63
MGG_08187,0,29,14,19,93,50,23,10,0,9,5,10,73,10,51,20,0,4,4,8,69,12,23,28
MGG_08188,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
MGG_08189,0,24,9,14,122,77,31,23,0,7,13,15,33,50,141,31,0,10,14,20,66,64,72,71
MGG_08190,0,195,185,200,484,308,151,111,1,123,80,81,1023,471,864,149,0,46,60,47,571,237,594,524
MGG_08191,0,3,1,0,10,15,3,2,0,0,1,4,2,4,9,5,0,0,0,2,2,1,3,1
MGG_08192,1,139,25,56,243,289,128,92,1,31,18,26,162,234,501,156,0,20,30,33,215,114,179,160
MGG_08193,0,4,4,1,7,10,2,3,0,1,1,0,2,5,4,1,0,0,0,0,2,1,2,0
MGG_08194,0,1,0,5,2,5,3,2,0,0,0,3,6,8,3,5,1,0,2,2,3,1,4,8
MGG_08195,0,124,83,80,128,174,70,48,0,52,42,44,226,247,312,120,0,60,41,28,154,67,151,109
MGG_08197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
MGG_08198,0,453,46,85,184,112,97,35,0,175,39,24,162,107,178,64,0,167,32,46,123,57,93,62
MGG_08199,1,307,86,215,515,342,238,135,0,142,94,88,239,222,753,230,0,141,74,93,235,287,354,299
MGG_08200,0,41,8,18,46,162,59,5,0,14,2,6,23,3,25,7,0,11,5,4,35,2,7,24
MGG_08201,0,467,67,219,1378,938,444,347,0,220,46,78,294,769,2317,329,0,116,36,42,338,622,2021,1230
MGG_08202,0,130,58,112,123,94,61,23,0,49,29,56,55,93,149,35,0,55,43,45,65,75,126,65
MGG_08203,3,840,542,753,1527,1251,603,619,1,475,305,380,1420,4663,4903,875,0,280,309,286,1191,1688,3188,1559
MGG_08205,0,26,10,7,43,15,12,7,0,17,11,7,48,5,9,3,0,9,5,1,25,3,5,5
MGG_08206,0,86,84,47,740,365,173,128,0,25,40,18,253,497,852,187,0,24,16,34,198,198,507,229
MGG_08207,1,22,31,115,489,230,207,73,0,15,9,43,526,89,320,81,0,9,25,30,378,79,133,87
MGG_08208,0,266,65,64,195,338,220,52,0,74,52,53,145,246,279,80,0,81,66,60,130,108,145,101
MGG_08209,0,39,29,28,79,33,14,18,0,12,17,15,66,45,94,31,0,12,20,21,73,31,67,72
MGG_08210,0,77,41,55,116,87,49,31,0,30,21,33,121,39,123,33,0,22,27,22,104,56,91,133
MGG_08211,0,45,20,22,74,40,24,23,0,26,14,9,54,31,86,33,0,15,8,15,47,23,33,30
MGG_08212,0,172,120,92,491,174,86,355,0,52,114,113,350,1388,2642,605,0,53,307,182,406,932,1960,1115
MGG_08214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08230,0,0,0,8,1,1,0,0,0,0,0,0,20,0,1,0,0,0,0,0,4,0,1,1
MGG_08232,0,0,1,1,1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,1,0,0,5,0
MGG_08236,0,0,59,360,56,4,16,7,0,0,31,158,18,7,13,5,0,0,98,184,4,9,4,0
MGG_08239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08246,0,0,0,2,3,4,3,1,0,0,0,1,12,4,10,1,0,2,2,0,15,5,7,2
MGG_08252,0,37,15,23,48,15,17,5,0,8,6,5,37,14,32,6,0,6,4,9,15,8,23,16
MGG_08253,0,1,0,2,2,2,1,0,0,1,2,0,2,14,4,0,0,1,0,1,5,6,9,6
MGG_08254,0,0,2,0,0,45,11,9,0,0,0,0,2,3,14,6,0,0,0,1,1,8,6,6
MGG_08255,0,181,89,104,241,179,134,106,2,45,66,79,158,135,276,107,0,65,118,78,179,121,239,141
MGG_08256,0,187,112,225,728,343,225,194,0,90,52,112,1299,181,1196,413,0,45,49,73,1066,243,473,808
MGG_08257,0,254,129,84,235,163,68,53,1,166,75,82,79,153,304,54,0,110,71,68,89,69,208,86
MGG_08258,0,73,37,127,297,45,52,292,1,53,25,63,271,43,355,302,0,38,36,57,188,100,174,179
MGG_08259,0,78,23,57,113,64,48,43,0,21,19,26,72,55,158,54,0,29,15,14,67,36,83,48
MGG_08260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08261,0,140,28,62,115,100,68,20,0,60,21,23,69,25,55,23,0,37,25,35,49,19,30,42
MGG_08262,1,191,238,73,258,127,72,183,1,38,143,183,144,320,672,179,0,34,285,230,178,351,666,455
MGG_08263,0,4,0,2,3,1,3,0,0,1,1,1,1,0,0,4,0,0,0,3,1,0,3,2
MGG_08265,0,0,0,0,101,34,10,0,0,0,0,0,62,1,11,4,0,0,0,1,58,7,7,8
MGG_08266,0,5,6,5,398,251,85,33,0,2,2,4,130,99,197,40,0,4,1,1,107,84,132,63
MGG_08267,0,28,10,15,45,22,17,132,0,30,6,9,22,935,1041,159,0,29,3,4,53,406,810,350
MGG_08268,0,15,2,16,35,21,5,6,0,6,0,1,9,9,18,16,0,8,1,3,19,5,13,16
MGG_08269,0,12,1,8,27,24,10,0,0,9,4,4,34,4,12,8,0,5,3,7,20,11,18,11
MGG_08270,0,176,40,99,223,204,96,72,1,63,56,60,152,114,452,89,0,51,60,50,214,147,183,280
MGG_08271,0,38,32,48,70,37,25,27,0,16,29,17,95,94,120,19,0,12,15,13,60,32,64,40
MGG_08274,1,103,11,54,10,7,6,2,0,13,4,23,6,0,3,7,0,42,2,11,7,2,4,4
MGG_08275,0,364,36,13,6,6,2,6,0,198,34,23,38,83,22,6,0,235,113,30,18,10,23,4
MGG_08276,0,8,4,4,91,157,55,48,0,2,1,5,55,77,288,38,0,3,3,5,100,110,129,78
MGG_08277,0,7,0,2,0,46,14,2,0,2,0,0,0,0,7,2,0,0,0,0,0,1,2,1
MGG_08278,0,151,22,11,87,87,50,44,0,81,11,15,55,115,327,152,0,79,23,25,52,66,187,114
MGG_08279,0,11,3,3,21,15,12,6,0,5,0,1,32,38,94,6,0,4,2,0,40,16,35,10
MGG_08281,0,0,0,0,1,6,2,0,0,0,0,0,5,2,1,0,0,0,0,0,6,1,0,2
MGG_08285,0,50,0,3,3,8,10,1,0,16,1,2,4,1,4,5,0,21,1,0,3,0,7,2
MGG_08287,0,51,14,5,13,86,33,19,0,46,5,4,14,24,43,9,0,19,9,4,15,15,37,75
MGG_08288,0,0,1,1,27,22,3,9,0,0,0,0,91,113,72,4,0,0,1,2,61,29,33,38
MGG_08289,0,2,0,0,16,15,6,7,0,0,0,0,53,30,37,5,0,0,0,0,29,10,17,45
MGG_08290,0,9,6,5,40,58,16,8,0,4,5,1,104,9,62,11,0,5,2,1,104,16,20,27
MGG_08291,0,7,578,87,150,66,74,20,0,11,140,192,34,27,61,74,0,2,261,167,20,29,93,139
MGG_08293,0,183,228,106,85,152,97,73,0,120,130,112,51,135,302,122,0,54,143,110,30,57,169,120
MGG_08295,0,73,123,74,72,52,39,17,0,49,59,50,66,20,51,43,1,23,79,65,46,15,39,25
MGG_08296,0,49,35,879,137,102,125,43,0,31,9,99,271,35,187,78,0,19,13,120,111,42,110,44
MGG_08297,0,0,0,10,23,6,17,3,0,0,2,0,20,3,42,36,0,0,2,2,9,6,30,30
MGG_08299,0,17,10,16,49,26,17,24,0,4,7,7,48,346,428,17,0,6,7,10,137,334,343,237
MGG_08300,1,60,292,807,3168,1311,463,204,0,28,249,328,5864,1175,2465,888,0,15,335,321,4421,608,735,799
MGG_08302,1,50,21,54,75,55,31,37,0,19,14,16,79,62,136,28,0,12,10,7,94,60,62,56
MGG_08303,0,158,87,107,268,203,124,81,0,39,48,32,280,158,420,74,0,50,44,35,241,150,229,207
MGG_08304,0,22,12,6,342,17,9,97,0,12,12,6,313,1777,1912,75,0,9,18,10,552,896,836,913
MGG_08305,0,2,0,0,7,9,2,0,0,0,0,0,3,10,31,1,0,0,0,4,5,5,11,18
MGG_08306,0,4,0,0,8,11,5,0,0,1,0,1,1,11,11,2,0,0,2,0,8,8,8,5
MGG_08307,0,133,132,153,280,131,116,163,0,70,62,72,121,335,759,277,0,54,76,81,141,167,456,247
MGG_08308,1,152,57,66,162,137,67,53,0,51,19,31,119,58,225,76,0,68,16,28,124,56,107,94
MGG_08309,0,63,31,23,120,80,57,60,0,18,41,39,47,542,566,183,0,22,51,56,54,126,339,212
MGG_08311,0,13,9,3,39,16,16,0,0,10,2,2,19,11,25,8,0,4,2,3,11,13,19,28
MGG_08312,0,204,74,84,208,137,80,48,1,79,67,46,188,263,374,105,0,69,57,49,179,145,202,168
MGG_08313,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08314,0,44,16,36,86,71,43,9,0,10,17,15,36,12,72,30,0,9,8,18,53,14,14,17
MGG_08315,0,1,0,12,7,2,3,0,0,0,0,3,20,4,0,4,0,0,1,4,29,2,2,5
MGG_08316,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08317,0,35,23,18,86,33,19,6,0,3,4,4,29,3,21,9,0,9,5,8,24,9,20,16
MGG_08318,0,16,4,5,55,25,10,1,0,7,4,5,23,3,29,14,0,4,4,6,25,5,14,8
MGG_08323,0,82,70,68,119,85,43,27,0,51,47,40,141,93,184,32,0,40,40,26,142,51,113,110
MGG_08325,0,5,2,3,5,5,1,0,0,2,3,3,7,6,49,6,0,1,3,3,7,3,14,15
MGG_08326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MGG_08328,0,22,0,4,59,15,7,0,0,10,0,1,37,50,57,33,0,9,3,2,36,23,37,12
MGG_08329,0,39,32,32,88,51,25,18,0,16,21,14,82,75,137,30,0,21,17,19,48,42,81,58
MGG_08330,0,8,42,11,65,22,19,14,0,8,35,30,39,225,277,16,0,11,48,50,39,88,321,55
MGG_08331,0,0,0,0,2,71,22,4,0,0,0,0,0,1,9,0,0,0,0,0,1,10,2,4
MGG_08332,0,22,10,25,22,23,10,14,0,8,5,10,27,52,68,11,0,6,11,11,30,35,56,46
MGG_08333,0,11,5,12,20,14,2,0,0,6,1,5,12,13,14,12,0,1,1,1,10,12,7,11
MGG_08334,0,5,2,4,12,25,11,5,0,1,0,4,6,16,13,8,0,0,0,2,5,6,8,2
MGG_08335,0,155,73,95,190,181,128,55,0,52,32,37,124,179,278,88,0,85,37,41,120,83,160,117
MGG_08337,0,0,0,0,86,174,54,27,0,0,0,0,8,12,64,11,0,0,0,0,30,12,26,23
MGG_08339,0,13,6,18,10,25,35,3,0,4,7,3,10,13,21,5,0,4,5,3,7,1,6,13
MGG_08340,0,24,16,25,56,53,34,14,0,8,18,6,40,21,45,31,0,7,14,9,41,10,22,22
MGG_08341,0,39,46,22,54,19,13,4,0,24,16,6,55,23,51,19,0,8,13,13,45,10,23,27
MGG_08342,0,2,0,7,22,7,4,5,0,0,2,4,32,11,6,2,0,1,1,3,15,2,3,4
MGG_08343,0,199,101,97,296,191,123,89,0,72,59,54,301,133,463,105,1,47,48,41,200,121,192,285
MGG_08345,0,426,137,168,400,386,262,124,1,168,82,118,209,298,563,129,1,169,96,105,189,154,315,205
MGG_08346,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08348,0,0,0,12,533,87,33,68,0,0,0,3,1088,2655,748,103,0,0,0,4,491,375,488,120
MGG_08349,0,9,1,1,5,17,5,7,0,2,1,1,5,46,96,19,0,0,0,1,5,24,86,7
MGG_08350,0,0,2,4,38,1,6,0,0,1,0,0,58,5,6,1,0,3,0,0,33,3,3,2
MGG_08351,0,0,0,1,0,0,1,0,0,0,2,0,3,5,8,2,0,0,0,0,0,8,23,5
MGG_08352,0,0,90,158,562,236,192,75,0,0,72,52,402,165,325,65,0,0,88,77,269,102,286,74
MGG_08353,0,3,1,1,3,3,5,2,0,1,4,1,3,1,1,1,0,2,2,2,1,2,1,0
MGG_08354,0,116,6,12,3,383,433,11,0,81,1,0,9,3,28,18,0,88,0,3,13,7,59,40
MGG_08355,0,0,0,22,188,86,57,37,0,0,0,0,211,160,90,54,0,0,0,0,98,26,97,50
MGG_08356,0,0,0,84,19,14,7,2,0,0,0,19,134,2,5,1,0,0,0,4,38,3,11,6
MGG_08359,0,0,4,7,71,21,3,18,0,1,0,2,1129,14,49,9,0,0,0,1,518,19,47,42
MGG_08360,0,0,0,2,6,5,0,3,0,0,0,0,125,1,5,4,0,0,0,0,63,3,4,1
MGG_08361,0,0,5,6,6,4,4,1,0,0,2,2,43,14,22,1,0,1,2,2,34,8,12,11
MGG_08363,0,0,0,1,10,6,0,5,0,0,0,0,249,2,12,0,0,0,0,0,178,2,12,15
MGG_08366,0,2,0,0,2,6,2,0,0,0,0,0,6,0,7,0,0,0,0,1,2,1,4,4
MGG_08367,0,429,119,132,167,145,98,44,1,235,66,63,183,413,661,86,0,166,81,96,196,246,471,312
MGG_08368,0,142,59,67,137,139,63,73,0,72,24,20,115,572,497,81,0,57,70,48,147,281,447,245
MGG_08369,0,103,26,50,83,48,32,40,0,30,11,15,60,111,196,47,0,38,8,21,55,62,123,71
MGG_08370,1,1324,227,494,950,240,231,879,1,320,140,197,633,468,1646,1230,1,297,213,182,369,255,905,918
MGG_08371,0,4,1,6,5,1,1,1,0,1,0,1,0,0,4,2,0,0,0,0,2,0,1,1
MGG_08372,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MGG_08373,0,0,1,0,18,3,5,0,0,0,0,0,13,3,4,1,0,0,0,0,73,6,2,60
MGG_08374,0,5,2,3,9,14,4,0,0,2,0,2,12,12,19,4,0,2,0,1,7,8,16,8
MGG_08376,0,0,0,1,4,1,0,0,0,0,0,2,4,0,5,2,0,0,0,2,3,0,1,0
MGG_08377,0,2,48,435,21,2,4,3,0,0,16,204,4,5,2,4,0,0,19,163,3,0,2,3
MGG_08378,2,0,91,774,17,5,6,6,1,0,26,474,5,38,12,8,0,0,84,379,6,8,12,0
MGG_08379,2,0,10,401,1,0,1,0,0,0,2,198,1,0,0,0,0,0,11,162,0,0,0,0
MGG_08380,1,1,301,483,3,0,2,3,0,0,116,403,1,0,0,1,0,0,163,340,0,0,0,0
MGG_08381,2,0,795,1972,9,4,21,10,2,0,432,1330,5,1,0,8,0,0,566,1077,1,1,3,0
MGG_08384,1,0,184,741,10,2,7,4,0,0,60,448,6,1,0,5,0,0,143,358,2,0,2,0
MGG_08386,0,0,183,349,0,1,1,0,0,0,125,246,0,0,0,2,0,0,138,188,0,0,0,0
MGG_08387,0,0,134,575,5,0,3,6,1,0,66,426,0,0,1,11,0,0,121,265,0,0,0,2
MGG_08389,0,0,242,56,18,3,1,2,1,0,90,48,17,0,5,0,0,2,89,44,12,3,2,1
MGG_08390,1,1,196,1358,13,1,4,4,1,0,121,811,6,2,2,4,0,0,123,388,0,2,1,0
MGG_08391,2,1,540,1027,19,8,5,4,0,0,252,580,3,0,0,9,0,0,241,422,1,1,1,0
MGG_08395,0,48,0,20,56,53,25,2,0,5,3,2,14,3,20,5,0,10,0,0,13,10,11,8
MGG_08398,0,0,0,26,6,11,10,5,0,0,0,5,20,2,15,2,0,0,0,1,20,0,12,3
MGG_08399,0,0,0,8,7,11,10,1,0,0,0,0,7,0,3,0,0,0,0,1,1,1,6,6
MGG_08401,0,0,0,0,0,5,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3
MGG_08405,0,1,2,0,28,7,1,20,1,0,3,3,6,205,287,24,0,0,9,8,8,95,415,166
MGG_08406,0,31,2,4,2,2,0,0,0,19,4,0,0,0,0,0,0,26,0,0,1,0,0,0
MGG_08407,0,0,0,5,25,0,7,6,0,0,0,0,10,0,5,8,0,0,0,0,2,6,2,2
MGG_08408,0,5,0,1,31,42,19,4,0,1,0,0,6,7,12,3,0,0,0,0,10,9,4,3
MGG_08409,0,0,0,1,6,8,1,4,0,0,0,0,0,29,65,4,0,0,0,0,0,24,84,52
MGG_08410,0,0,4,3,5,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0
MGG_08411,0,0,0,35,4,3,9,2,1,0,0,5,31,8,11,2,0,0,0,1,15,2,2,3
MGG_08412,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
MGG_08414,0,0,0,19,1,0,1,0,0,0,0,2,25,3,3,1,0,0,0,0,8,1,3,5
MGG_08415,0,0,0,0,18,6,3,1,0,0,0,0,26,70,35,5,0,0,0,0,9,5,37,17
MGG_08416,0,0,3,5,79,52,44,16,0,0,0,4,110,38,43,18,0,0,1,1,49,15,70,25
MGG_08422,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08423,1,17,12,11,22,32,12,6,0,14,2,7,25,12,34,7,0,6,10,5,26,15,34,32
MGG_08424,0,0,0,0,2,0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1
MGG_08426,0,5,2,0,31,7,3,60,1,1,5,4,17,2823,2188,39,0,0,1,0,66,697,965,494
MGG_08428,0,0,4,31,103,37,19,7,0,0,3,10,85,19,33,11,0,0,17,8,45,16,39,6
MGG_08429,0,45,61,19,69,42,11,22,0,21,39,28,119,19,34,23,0,18,49,22,101,14,9,7
MGG_08430,0,43,205,53,7,2,2,2,1,47,89,49,26,6,9,2,0,41,186,71,4,8,2,0
MGG_08431,0,0,0,2,0,9,5,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,6
MGG_08432,0,0,0,18,2,1,3,0,0,0,0,6,4,0,1,0,0,0,0,2,3,0,0,0
MGG_08433,0,0,0,32,1,0,2,0,0,0,0,7,7,1,4,0,0,0,0,1,2,0,1,1
MGG_08434,0,38,0,9,35,379,312,16,0,4,1,0,7,1,33,11,0,7,0,2,8,7,35,38
MGG_08435,0,0,0,5,155,205,99,41,0,0,0,1,152,38,60,20,0,0,0,1,69,15,13,14
MGG_08436,0,0,0,2,104,19,26,12,0,0,0,1,137,75,58,5,0,0,0,2,105,36,58,52
MGG_08439,0,10,21,2,112,23,10,95,0,1,9,11,56,1247,1231,67,0,1,47,27,107,694,887,422
MGG_08440,0,1,7,13,110,26,40,198,0,0,5,5,65,321,281,212,0,1,12,7,87,242,458,221
MGG_08441,0,0,0,38,6,1,5,4,0,0,1,3,46,2,5,2,0,0,0,9,21,2,3,3
MGG_08442,0,0,0,8,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MGG_08446,0,0,0,1,249,821,286,65,0,0,0,0,48,69,228,120,0,0,0,1,39,57,89,169
MGG_08447,0,1,1,2,1,2,4,9,0,0,0,5,0,8,3,11,0,0,7,4,0,2,6,7
MGG_08449,0,4,0,5,11,16,5,2,0,1,0,1,1,17,4,2,0,0,3,4,2,5,10,8
MGG_08450,0,0,17,4,17,12,14,8,0,0,7,2,5,7,11,21,0,0,13,6,4,1,3,10
MGG_08451,0,0,0,1,2,4,1,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,4
MGG_08452,0,9,0,8,162,198,104,40,0,0,2,1,20,86,228,36,0,3,0,1,37,25,111,45
MGG_08453,0,2,0,8,67,72,25,14,0,1,0,2,22,14,67,16,0,1,0,0,21,9,36,24
MGG_08454,0,0,0,1,57,29,9,11,0,0,1,1,48,91,74,20,0,0,0,0,51,29,48,11
MGG_08455,0,0,2,6,145,35,13,44,0,1,5,0,61,266,510,10,0,0,4,0,70,73,316,108
MGG_08457,6,4503,1699,2197,5079,5654,3634,2585,4,1754,1136,769,3258,5213,12888,3908,1,1269,792,697,2705,2410,5036,2955
MGG_08458,0,142,36,58,31,39,30,15,0,24,30,28,17,9,17,16,0,42,20,25,17,14,14,40
MGG_08459,0,12,46,14,6,18,14,3,0,0,28,21,2,1,6,5,0,2,25,7,3,0,3,0
MGG_08461,0,32,71,22,21,51,18,4,0,36,19,19,54,27,55,42,0,13,14,35,51,24,46,27
MGG_08462,0,114,38,34,35,44,29,5,1,54,41,16,19,9,24,14,0,40,13,26,20,18,17,10
MGG_08463,0,51,13,25,50,43,37,7,0,17,20,10,53,3,31,15,0,19,5,15,50,11,18,25
MGG_08464,0,111,145,67,203,91,58,70,0,47,66,63,162,120,286,63,0,31,48,57,181,93,262,229
MGG_08467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08468,0,0,0,2,11,0,3,0,0,0,0,0,0,2,21,4,0,0,0,0,2,3,12,0
MGG_08469,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
MGG_08474,2,33,240,306,208,95,72,38,0,18,74,150,441,5,65,34,0,14,120,101,292,32,103,80
MGG_08476,0,0,0,2,111,119,48,7,0,1,1,1,42,6,32,14,0,0,1,0,27,10,22,9
MGG_08477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08480,1,0,107,386,223,111,140,26,0,0,67,138,185,86,131,63,0,1,143,155,107,49,112,51
MGG_08481,0,0,0,19,3,3,1,2,0,0,0,2,2,0,2,2,0,0,0,1,2,0,0,0
MGG_08482,1,0,5,340,44,9,9,15,0,0,0,38,211,18,31,32,0,0,0,18,40,9,18,14
MGG_08485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08486,0,0,0,1,55,10,14,1,0,1,0,0,4,132,98,158,0,0,0,0,42,182,65,54
MGG_08487,0,0,0,1,34,10,1,7,0,0,0,0,33,434,182,19,0,0,1,0,48,104,68,10
MGG_08488,0,0,0,0,13,14,17,1,0,0,0,0,5,10,12,0,0,0,0,0,11,13,16,5
MGG_08489,0,1,2,17,45,76,55,7,0,0,0,5,28,26,64,32,0,0,0,1,28,29,47,18
MGG_08491,0,0,0,301,23,1,5,4,0,0,0,59,65,7,4,5,0,0,0,7,8,1,2,3
MGG_08492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08493,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08494,0,0,0,0,28,14,9,4,0,0,0,0,14,22,42,28,0,0,0,0,63,17,32,39
MGG_08495,0,24,5,9,28,28,18,3,0,19,6,4,2,4,14,23,0,14,3,3,12,7,28,28
MGG_08496,0,0,0,0,22,27,6,10,0,1,0,0,20,16,18,5,0,0,0,0,10,3,8,6
MGG_08497,0,40,16,62,115,86,51,29,0,14,10,38,45,73,144,62,0,11,9,30,32,33,81,27
MGG_08498,4,21,27,405,5380,1492,2398,3081,2,13,5,62,1402,6330,10205,4419,1,14,28,103,1237,1550,6917,3404
MGG_08499,0,37,1,2,33,3,18,29,0,8,0,1,15,16,23,20,0,14,0,2,11,12,14,14
MGG_08500,0,0,77,3,78,114,44,33,0,0,25,16,38,13,88,41,0,1,41,21,45,14,50,32
MGG_08501,1,2,73,292,345,86,73,85,0,4,72,105,278,247,208,194,0,3,56,126,170,56,164,74
MGG_08506,0,0,0,76,39,17,19,10,0,0,0,22,121,19,25,18,0,0,0,9,52,10,26,18
MGG_08511,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MGG_08515,0,0,73,435,15,7,8,8,0,0,50,184,42,2,3,9,0,0,32,93,14,4,7,4
MGG_08516,0,0,0,3,0,3,3,0,0,0,0,1,19,1,1,1,0,0,0,0,2,0,0,1
MGG_08519,0,1,14,29,201,19,46,10,0,0,4,21,14,11,85,30,0,0,16,20,4,27,25,13
MGG_08520,0,3,0,5,23,4,4,2,0,0,0,1,4,3,8,6,0,0,1,1,1,3,5,7
MGG_08521,0,1,2,1,121,30,19,8,0,1,0,0,42,54,69,14,0,1,1,0,59,22,48,5
MGG_08522,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_08523,0,428,27,3,5,0,2,4,0,250,13,12,31,3,5,4,0,215,35,13,12,5,1,3
MGG_08525,0,54,396,43,28,15,9,1,0,84,160,88,7,10,6,11,0,26,258,130,3,8,2,0
MGG_08526,4,4395,2535,221,87,19,36,13,4,4236,1185,353,142,3,34,48,0,2147,1224,502,49,13,13,9
MGG_08527,0,17,17,9,417,132,42,37,0,14,12,6,289,97,209,101,1,9,10,6,157,58,101,91
MGG_08528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,13
MGG_08529,0,0,0,0,0,10,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3
MGG_08531,0,0,0,58,8,3,1,2,0,0,0,5,41,1,5,0,0,0,0,3,15,3,5,2
MGG_08532,0,0,18,42,40,15,12,11,1,0,11,36,146,16,25,12,0,0,26,13,58,10,32,12
MGG_08533,0,43,15,22,47,28,13,6,0,14,6,5,19,13,38,12,0,10,11,8,25,18,14,29
MGG_08535,1,783,2761,353,504,285,185,2676,2,392,1646,1989,2164,3115,12989,3023,1,173,4856,3079,1116,3085,9785,5633
MGG_08536,0,14,8,26,35,48,26,26,0,17,3,13,20,108,147,76,0,11,9,4,12,23,54,17
MGG_08537,0,0,0,0,32,40,29,8,0,0,1,0,5,4,21,18,0,0,0,0,3,7,6,12
MGG_08539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0
MGG_08540,0,0,0,3,23,5,0,0,0,1,0,0,5,0,10,1,0,0,0,1,2,2,7,1
MGG_08541,0,4,0,6,62,9,6,0,0,6,1,0,50,2,8,1,0,3,0,0,36,4,3,4
MGG_08542,0,12,1,8,94,96,51,0,0,2,0,0,51,6,39,16,0,2,0,0,25,13,33,8
MGG_08543,0,4,2,3,47,57,27,5,0,3,2,0,18,6,33,12,0,0,0,1,23,10,20,12
MGG_08546,0,1,1,9,310,117,51,20,0,0,0,1,113,111,101,14,0,0,0,1,51,36,69,23
MGG_08547,2,382,223,193,1056,356,157,743,2,130,310,350,761,2960,6433,704,1,116,1049,620,837,3808,5955,4008
MGG_08548,0,1,5,6,23,47,38,7,0,1,5,7,3,10,29,8,0,0,10,10,6,17,27,33
MGG_08549,0,16,26,28,65,143,124,18,0,1,9,11,24,39,102,20,0,1,14,15,20,56,73,43
MGG_08550,0,4,4,7,22,13,2,1,0,1,4,6,10,1,21,4,0,0,5,10,9,8,8,2
MGG_08551,0,5,12,80,319,141,62,25,0,2,18,32,318,29,153,31,0,5,35,22,283,66,52,27
MGG_08552,0,4,2,19,41,10,7,0,0,1,1,20,7,10,50,3,0,2,5,10,39,36,26,42
MGG_08554,0,11,5,23,40,59,25,3,0,5,13,13,23,11,54,9,0,4,11,11,24,21,32,29
MGG_08555,0,33,2,5,31,15,6,2,0,4,1,0,73,5,7,2,0,17,2,1,47,10,9,21
