Gene,t0,t8,t16,t24,t48,t72,t96,t144
MGG_09998,0,0,0,1.71426105,1.04819467,4.680347135,2.922804453,3.067629909
MGG_17155,0,0,0,2.463619284,2.904406202,3.763033316,2.779798995,1.736005436
MGG_17711,0,5.584486609,3.317158408,0,1.17559717,2.296436086,0.645719806,0.640423325
MGG_12444,0,0,0,12.40829671,0.727081694,0.328062298,0,0.567438089
MGG_10086,0,0,0,8.995259245,3.422095126,0.656124596,0.099947731,0.988744992
MGG_16323,0,0,0,14.34227708,0,0,0,0
MGG_10780,0,0,0,13.42947013,0.448515476,0,0.545772074,0
MGG_15374,0,0,0,8.858605062,2.730536369,0.656124596,0.361864256,1.848284739
MGG_09648,0,0.757264125,1.658579204,1.184622129,1.179517743,2.325594407,1.772214934,5.5787061
MGG_10725,0,0,0,8.885399589,2.219871267,1.698628132,0.90763633,1.061730228
MGG_16404,0,3.029056499,0.628037531,10.48980098,0.456356623,0.328062298,0,0
MGG_05795,0,0,0,13.56612432,0,0,1.572319471,0
MGG_00148,0,0,2.460792098,3.428522099,5.17834817,3.077750399,1.004608371,0
MGG_08941,0,0.378632062,2.863296241,2.898883178,3.58109999,1.522461186,1.753251599,2.213532347
MGG_07811,0,0,0,2.353759627,12.00422844,0.567432613,0.742691847,0
MGG_12551,0,1.939596669,5.149912976,2.259384601,0.904872099,2.799448311,0.745667537,1.938195917
MGG_02918,0,2.397295858,9.79460576,1.074762472,1.670579979,0.210211994,0.542796384,0.219116422
MGG_07538,0,0,1.030541673,3.197492889,2.768924777,2.981719003,1.769239243,4.246920914
MGG_15926,0,0,0,16.46500749,0,0,0,0
MGG_17319,0,1.593595376,1.832754568,2.259384601,2.502358058,1.462927524,3.338583023,3.477453056
MGG_13374,0,2.318228731,2.914654266,2.353759627,4.633215233,1.25271553,1.60727045,1.426977836
MGG_17666,0,1.672662502,2.512150123,4.083505307,1.852290958,1.286760577,0.945563,5.072608779
MGG_17601,0,0,0,16.85799223,0.951339432,0,0,0.219116422
MGG_04734,0,0,0,15.18601034,2.517223026,0.567432613,0.545772074,0
MGG_15908,0,0,0,8.219106484,3.496006471,1.850523484,3.122699916,2.359663532
MGG_04452,0,0.378632062,7.664858489,5.98651641,0.680614361,0.538274292,2.463968156,1.3539926
MGG_18005,0,11.95597013,0.628037531,2.993258205,0.680614361,0.656124596,2.828808103,0
MGG_14830,0,0,0,13.02100077,5.761527747,1.042503536,0,0
MGG_13670,0,10.15858051,1.030541673,1.184622129,2.254339102,2.236902424,2.779798995,0.567438089
MGG_16188,0,0,1.884112592,2.463619284,7.189643992,3.01454703,4.249195044,1.646094258
MGG_08946,0,0,0,14.75074645,2.3937411,0.685282917,2.218039276,0.421306903
