,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48
MGG_03288,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,34,2,208,170,57,930,615,349
MGG_03290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,5,6,331,305,163
MGG_03291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,3,38,92,12,228,125,51
MGG_03292,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,37,28,16,252,56,17
MGG_03293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,15,14,13
MGG_03294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MGG_03295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,9,4,64,49,26
MGG_03298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,361,75,106
MGG_03299,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,22,21,10,10,3,4
MGG_03301,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,22,85,11,230,158,60
MGG_03302,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,17,18,5,84,39,21
MGG_03303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,5,2,19,8,12
MGG_03304,0,2,1,4,0,0,0,0,2,0,1,1,1,1,0,1,3,0,6,9,2,33,12,6
MGG_03306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03307,0,0,0,1,2,4,0,2,0,0,0,0,0,7,1,4,36,6,118,294,30,1524,584,241
MGG_03308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
MGG_03309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MGG_03310,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,19,0,60,69,13,244,145,75
MGG_03311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,4,2,32,21,8
MGG_03312,1,12,6,16,3,5,1,2,0,4,0,0,9,4,4,0,17,1,62,11,6,3,5,8
MGG_03313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,12,7,99,63,31
MGG_03314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,21,2,60,13,9
MGG_03315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
MGG_03316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,19,10,9
MGG_03317,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,3,27,1,92,133,31,555,311,143
MGG_03318,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,2,31,22,5,79,57,54
MGG_03319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,27,24,3,165,58,52
MGG_03320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,46,40,9,181,86,47
MGG_03321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,10,1,99,41,18
MGG_03322,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,11,4,58,28,17
MGG_03323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,14,0,22,50,14,205,125,34
MGG_03324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,23,5,48,33,16
MGG_03325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,11,0,17,4,1
MGG_03326,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,13,102,4,358,738,97,311,142,97
MGG_03327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,34,3,0
MGG_03328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,1,40,11,4
MGG_03329,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,1,9,1,114,133,16
MGG_03330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,12,2,39,18,14
MGG_03331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,0,33,27,4
MGG_03332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,14,2,64,22,16
MGG_03333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,52,36,20,122,51,14
MGG_03335,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,15,13,3,53,34,29
MGG_03336,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,17,1,276,382,213
MGG_03337,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,9,3,7,1,2
MGG_03338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,2,3
MGG_03339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03340,0,0,0,0,0,0,0,0,1,0,0,4,0,2,1,2,26,0,86,117,26,650,273,154
MGG_03341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,385,359,200
MGG_03343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,4,116,67,65
MGG_03346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,0,13,2,0
MGG_03347,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,10,14,6,117,47,11
MGG_03348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,22,27,2
MGG_03349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,24,28,26
MGG_03350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
MGG_03351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,22,16
MGG_03352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,11,3,6
MGG_03353,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,1,31,25,2,59,25,19
MGG_03354,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,19,0,61,151,23,457,170,85
MGG_03355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1
MGG_03356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,71,7,15
MGG_03358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03360,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,21,5,196,135,98
MGG_03361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2
MGG_03362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,9,1
MGG_03363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,18,2,1
MGG_03364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
MGG_03365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
MGG_03367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,3,31,28,43
MGG_03368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,100,72,87
MGG_03372,0,0,0,0,1,1,0,0,0,1,0,3,8,19,0,26,237,6,574,652,118,1535,1219,435
MGG_03373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,12,11,1,46,20,13
MGG_03374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,28,7,5,105,84,135
MGG_03375,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,5,13,5,92,38,49
MGG_03376,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,21,11,1,103,58,52
MGG_03377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,24,7,44,19,8
MGG_03378,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,26,13,99,43,25
MGG_03379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0
MGG_03380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MGG_03383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,3
MGG_03384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,11,4,1
MGG_03385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MGG_03388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,51,34,11
MGG_03389,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,15,38,6,173,83,60
MGG_03390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,20,1,28,22,11
MGG_03392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,3
MGG_03393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,11,8,53,19,12
MGG_03394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,0,20,7,8
MGG_03395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,4,2
MGG_03396,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,2,2,17,2,3
MGG_03397,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,25,2,1
MGG_03398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,8,7,4
MGG_03401,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,19,16,9,39,16,8
MGG_03403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,28,24,17
MGG_03404,0,0,1,0,0,0,0,5,0,0,1,3,0,0,0,0,6,0,12,39,9,89,49,36
MGG_03406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,15,2,55,33,30
MGG_03407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,34,2,4
MGG_03411,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,20,11,24
MGG_03412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,24,7
MGG_03413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,21,1,40,13,9
MGG_03414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,10
MGG_03415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,8,3,5
MGG_03416,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,19,58,12,118,20,12
MGG_03417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11,1,0
MGG_03418,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,3,0,12,14,2,53,25,9
MGG_03419,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,12,20,4,110,42,24
MGG_03421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
MGG_03422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03423,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,2
MGG_03426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
MGG_03427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
MGG_03428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
MGG_03432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MGG_03433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MGG_03434,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,5,1
MGG_03435,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,11,2,73,29,16
MGG_03436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03437,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,8,8,4
MGG_03438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,1,62,28,26
MGG_03439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,0,97,93,25,61,31,30
MGG_03440,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
MGG_03441,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,15,1,31,37,7,245,191,104
MGG_03442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,8,4
MGG_03443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,2,1
MGG_03446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,3,3,22,9,7
MGG_03448,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,13,23,5,101,59,29
MGG_03449,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6,10,1,105,60,40
MGG_03451,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,19,30,2,103,116,40
MGG_03454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,15,5,1
MGG_03456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,4
MGG_03457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MGG_03458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,10,26,1,51,27,13
MGG_03459,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,16,29,9,245,114,72
MGG_03460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
MGG_03461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03462,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,6,0,16,8,3
MGG_03463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,7,3,32,12,7
MGG_03464,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,3,0,25,35,18
MGG_03465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,11,15,4,18,19,13
MGG_03466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03468,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,11,3,9,7,9
MGG_03469,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,2,207,124,49
MGG_03470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,4,1
MGG_03471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,35,13,10
MGG_03474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,23,0,0
MGG_03476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,66,37,25
MGG_03477,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,24,6,279,122,71
MGG_03478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,10,3,31,34,23
MGG_03479,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,31,5,93,50,37
MGG_03480,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,9,1,36,47,4,229,111,44
MGG_03481,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,9,4,1,43,27,11
MGG_03482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
MGG_03483,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,95,92,18,291,201,129
MGG_03484,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,23,0,129,206,24,414,316,168
MGG_03485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,28,8,118,47,25
MGG_03486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,23,29,1,60,47,38
MGG_03487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,13,13,4,47,20,15
MGG_03488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,11,4,29,19,5
MGG_03489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
MGG_03491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
MGG_03492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,14,9,1,74,14,21
MGG_03493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,3,0
MGG_03494,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,19,3,91,102,15,192,116,48
MGG_03495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
MGG_03496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MGG_03497,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0
MGG_03498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2
MGG_03499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,23,4,4
MGG_03501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,43,25,11
MGG_03502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,69,26,43
MGG_03503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
MGG_03504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,58,42,10,19,13,4
MGG_03505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
MGG_03506,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,8,0,43,47,10,179,103,53
MGG_03507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,0,0
MGG_03508,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,21,15,11
MGG_03509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_03510,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,4,0,28,39,9,125,67,60
MGG_03511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,2,125,232,61,725,320,204
MGG_03512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,14,0,31,54,9,247,150,71
MGG_03513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,6,1,57,23,5
MGG_03516,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,6,0,43,30,10,405,233,106
MGG_03517,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,24,1,43,107,15,248,119,56
MGG_03518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,1,39,29,13
MGG_03519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,9,1
MGG_03520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,16,6,67,36,16
MGG_03521,0,0,0,1,3,1,0,0,4,0,0,0,4,1,0,3,20,0,182,119,25,650,635,291
MGG_03522,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,19,14,4,46,21,8
MGG_03523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,10,3,54,41,49
MGG_03524,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,59,62,7,277,105,69
MGG_03525,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,4,41,0,133,243,30,744,457,207
MGG_03526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,12,13,5
MGG_03527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,18,5,122,53,29
MGG_03528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,75,23,16
MGG_03529,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,6,5,1,24,11,6
MGG_03530,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,11,0,58,65,16,303,110,58
MGG_03531,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,12,16,5,162,91,55
MGG_03532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,20,16,8
MGG_03535,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,12,8,1,96,35,20
MGG_03536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,12,6,98,65,25
MGG_03537,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,4,32,3,90,138,41,747,341,172
MGG_03538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,26,37,7,170,66,39
MGG_03539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,18,2,2
MGG_03541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,3,14,11,1
MGG_03542,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,12,2,61,110,23,396,228,97
MGG_03543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,5,5,17,12,9
MGG_03544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,3
MGG_03545,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,24,2,51,97,17,286,97,59
MGG_03546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,18,1,31,28,13
MGG_03548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,46,8,38,15,10
MGG_03549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,47,13,9
MGG_03550,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,12,11,3,95,82,29
MGG_03551,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,21,1,53,73,19,328,186,92
MGG_03552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,52,25,14
MGG_03553,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,5,0,29,12,6
MGG_03554,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,10,136,12,296,582,99,1586,772,346
MGG_03555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14,3,4
MGG_03556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,40,105,21,230,129,35
MGG_03557,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2
MGG_03558,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,4,0,41,34,13,264,258,101
MGG_03559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,20,7,119,80,35
MGG_03560,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,9,17,1,92,71,35
MGG_03561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,1,24,17,14
MGG_03562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,35,11,4
MGG_03564,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,2,43,2,130,236,21,314,154,62
MGG_03565,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,21,1,20,30,4,79,47,16
MGG_03566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
MGG_03567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0
MGG_03568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,7,4,94,25,22
MGG_03569,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,14,1,28,42,14,124,78,30
MGG_03572,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,16,0,40,78,15,215,102,54
MGG_03574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,10,2,39,24,8
MGG_03575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,5,0,0,3
MGG_03576,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,6,0,50,51,9,170,167,100
MGG_03577,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,16,58,7,416,480,78,1064,734,310
MGG_03578,0,0,0,1,1,0,1,0,3,2,0,0,4,8,3,24,169,6,576,784,111,924,541,265
MGG_03579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,20,12,341,173,95
MGG_03580,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,4,0,11,17,3,134,36,22
MGG_03581,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,5,7,1,37,9,12
MGG_03582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,20,13,6,103,46,18
MGG_03583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,15,27,2,31,15,5
MGG_03584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,10,17,2,55,27,24
